Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
1999-06-17,19.253615903604718,19.508833505720368,19.253615903604718,19.498624801635742,11000,0.0,0.0,0.0,19.498624801635742
1999-06-18,19.56437870863201,19.64615249633789,19.5030483678526,19.64615249633789,1000,0.038,0.0,0.0,19.64615249633789
1999-06-21,19.625696109820016,19.625696109820016,19.33948804155181,19.380374908447266,4400,0.0,0.0,0.0,19.380374908447266
1999-06-22,19.42127159049919,19.47238019994787,19.288389205932617,19.288389205932617,33000,0.0,0.0,0.0,19.288389205932617
1999-06-23,19.298611390546586,19.349720001220703,19.104398669984942,19.349720001220703,29500,0.0,0.0,0.0,19.349720001220703
1999-06-24,19.308828351845158,19.308828351845158,18.961289884951174,19.145280838012695,34000,0.0,0.0,0.0,19.145280838012695
1999-06-25,19.13506175367968,19.165726916746472,19.0124011014125,19.03284454345703,2800,0.0,0.0,0.0,19.03284454345703
1999-06-28,19.145282752520277,19.175947914430346,19.063508987426758,19.063508987426758,3600,0.0,0.0,0.0,19.063508987426758
1999-06-29,19.06350281270345,19.165719985961914,19.06350281270345,19.165719985961914,4400,0.0,0.0,0.0,19.165719985961914
1999-06-30,19.267948308580827,19.523491389596487,19.08395729024955,19.503047943115234,24700,0.0,0.0,0.0,19.503047943115234
1999-07-01,19.3497180718911,19.51326560974121,19.3497180718911,19.51326560974121,15200,0.0,0.0,0.0,19.51326560974121
1999-07-02,19.523487081119985,19.63592601195366,19.523487081119985,19.605260848999023,11400,0.0,0.0,0.0,19.605260848999023
1999-07-06,19.482597827911377,19.727919101715088,19.482597827911377,19.625701904296875,42200,0.0,0.0,0.0,19.625701904296875
1999-07-07,19.605259904331074,19.625703345315777,19.329273451037572,19.48259925842285,12000,0.0,0.0,0.0,19.48259925842285
1999-07-08,19.43149467843151,19.574598794948102,19.400829510606524,19.554155349731445,3300,0.0,0.0,0.0,19.554155349731445
1999-07-09,19.564378496374225,19.615487113135913,19.533713326317212,19.574600219726562,80800,0.0,0.0,0.0,19.574600219726562
1999-07-12,19.595038189903075,19.595038189903075,19.370160339001735,19.40082550048828,3400,0.0,0.0,0.0,19.40082550048828
1999-07-13,19.288384439074004,19.34971475525548,19.237275842256107,19.32927131652832,32500,0.0,0.0,0.0,19.32927131652832
1999-07-14,19.48260428214437,19.48260428214437,19.308834988966797,19.431495666503906,82700,0.0,0.0,0.0,19.431495666503906
1999-07-15,19.564380645751953,19.564380645751953,19.492828574424752,19.564380645751953,14200,0.0,0.0,0.0,19.564380645751953
1999-07-16,19.56436658689114,19.66658375819151,19.554144869761103,19.59503173828125,3800,0.0,0.0,0.0,19.59503173828125
1999-07-19,19.748366621771847,19.748366621771847,19.6154842376709,19.6154842376709,1100,0.0,0.0,0.0,19.6154842376709
